"","ID","months_since_last","number_donations","total_volume","months_since_first","made_donation"
"163","414",11,17,4250,79,1
"164","219",7,12,3000,86,0
"165","555",11,2,500,11,0
"166","452",11,2,500,11,0
"167","519",2,6,1500,75,0
"168","400",11,8,2000,41,1
"169","70",11,3,750,16,1
"170","669",12,13,3250,59,0
"171","115",2,3,750,35,0
"172","256",16,8,2000,28,0
"173","269",11,7,1750,37,0
"174","620",4,3,750,28,0
"175","205",12,12,3000,58,0
"176","578",4,4,1000,41,0
"177","498",4,5,1250,58,0
"178","38",4,4,1000,43,1
"179","707",11,8,2000,46,0
"180","71",4,7,1750,82,0
"181","480",16,7,1750,28,0
"182","215",4,5,1250,58,0
"183","670",4,5,1250,58,0
"184","120",4,4,1000,46,0
"185","465",14,13,3250,57,0
"186","457",14,18,4500,78,0
"187","36",11,8,2000,48,0
"188","76",14,16,4000,70,0
"189","647",14,4,1000,22,1
"190","44",14,5,1250,26,0
"191","598",4,2,500,23,0
"192","616",14,3,750,19,1
"193","634",16,12,3000,50,0
"194","727",11,4,1000,28,0
"195","133",14,5,1250,28,0
"196","567",14,2,500,14,0
"197","362",14,2,500,14,0
"198","114",14,2,500,14,0
"199","575",14,6,1500,34,0
"200","394",11,5,1250,37,1
"201","549",4,5,1250,74,0
"202","384",11,3,750,23,0
"203","121",12,9,2250,60,0
"204","72",9,1,250,9,0
"205","581",9,1,250,9,0
"206","261",4,2,500,29,0
"207","216",11,2,500,17,0
"208","153",14,4,1000,26,0
"209","626",11,9,2250,72,1
"210","658",11,5,1250,41,0
"211","458",9,5,1250,51,1
"212","324",14,8,2000,50,1
"213","253",16,7,1750,38,0
"214","186",14,2,500,16,0
"215","171",14,16,4000,98,0
"216","21",16,7,1750,39,0
"217","413",11,3,750,28,0
"218","128",11,1,250,11,1
"219","142",9,3,750,34,0
"220","185",14,4,1000,30,0
"221","451",23,38,9500,98,0
"222","469",11,1,250,11,0
"223","77",11,1,250,11,0
"224","159",11,1,250,11,0
"225","152",11,1,250,11,0
"226","551",11,1,250,11,0
"227","584",11,2,500,21,0
"228","488",11,5,1250,50,0
"229","26",11,2,500,21,0
"230","349",16,4,1000,28,0
"231","723",14,3,750,26,0
"232","735",9,2,500,26,0
"233","572",14,6,1500,51,0
"234","711",11,2,500,24,0
"235","668",4,3,750,71,0
"236","194",21,13,3250,57,0
"237","390",14,2,500,21,1
"238","325",23,15,3750,57,0
"239","326",14,4,1000,38,0
"240","137",11,2,500,26,0
"241","608",16,5,1250,40,1
"242","318",4,2,500,51,1
"243","714",14,4,1000,40,0
"244","73",11,3,750,40,1
"245","679",14,5,1250,50,0
"246","25",14,1,250,14,0
"247","18",14,1,250,14,0
"248","225",14,1,250,14,0
"249","122",14,1,250,14,0
"250","708",14,1,250,14,0
"251","428",14,7,1750,72,0
"252","166",14,1,250,14,0
"253","234",9,3,750,52,0
"254","704",14,7,1750,73,0
"255","716",11,4,1000,58,0
"256","599",11,4,1000,59,0
"257","206",4,2,500,59,0
"258","713",11,4,1000,61,0
"259","167",16,4,1000,40,0
"260","601",21,2,500,21,1
"261","277",21,3,750,26,0
"262","724",16,8,2000,76,0
"263","648",21,3,750,26,1
"264","37",18,2,500,23,0
"265","193",23,5,1250,33,0
"266","743",16,3,750,34,0
"267","354",14,3,750,41,0
"268","438",16,1,250,16,0
"269","236",16,1,250,16,0
"270","15",16,1,250,16,0
"271","163",16,1,250,16,0
"272","347",16,1,250,16,0
"273","412",16,4,1000,45,0
"274","87",16,1,250,16,0
"275","364",16,1,250,16,0
"276","468",21,2,500,23,0
"277","558",21,2,500,23,0
"278","177",14,4,1000,57,0
"279","593",16,5,1250,60,0
"280","378",23,2,500,23,0
"281","516",14,5,1250,74,0
"282","265",23,3,750,28,0
"283","543",16,3,750,40,0
"284","52",9,2,500,52,0
"285","505",16,7,1750,87,1
"286","343",14,2,500,35,0
"287","628",16,7,1750,93,0
"288","522",18,8,2000,95,0
"289","435",16,3,750,46,0
"290","381",11,3,750,76,0
"291","420",23,12,3000,86,0
"292","42",21,3,750,35,0
"293","78",23,2,500,26,0
"294","538",23,2,500,26,0
"295","180",23,3,750,33,0
"296","210",23,2,500,28,0
"297","251",21,1,250,21,0
"298","208",21,1,250,21,0
"299","660",21,1,250,21,0
"300","518",21,1,250,21,0
"301","602",21,1,250,21,0
"302","339",21,1,250,21,0
"303","431",21,1,250,21,0
"304","116",21,1,250,21,0
"305","302",21,1,250,21,0
"306","69",21,5,1250,60,0
"307","595",23,4,1000,45,0
"308","333",21,4,1000,52,0
"309","370",22,1,250,22,1
"310","742",11,2,500,70,0
"311","645",23,5,1250,58,0
"312","604",23,3,750,40,0
"313","112",14,3,750,83,0
"314","292",21,2,500,35,0
"315","281",26,5,1250,49,1
"316","514",23,6,1500,70,0
"317","117",23,1,250,23,0
"318","554",23,1,250,23,0
"319","110",23,1,250,23,0
"320","588",23,1,250,23,0
"321","576",23,1,250,23,0
"322","141",23,1,250,23,0
"323","475",23,4,1000,53,0
"324","547",21,6,1500,86,0
"325","305",21,3,750,64,0
"326","560",16,2,500,70,0
"327","287",21,3,750,70,0
"328","295",23,4,1000,87,0
"329","350",74,1,250,74,0
"330","39",2,43,10750,86,1
"331","677",6,22,5500,28,1
"332","149",2,44,11000,98,0
"333","732",2,11,2750,23,0
"334","348",2,21,5250,52,1
"335","374",2,11,2750,26,0
"336","104",2,11,2750,28,0
"337","407",3,14,3500,35,0
"338","408",4,6,1500,14,0
"339","226",3,5,1250,12,1
"340","157",4,33,8250,98,1
"341","495",3,10,2500,33,1
"342","280",4,10,2500,28,1
"343","107",2,11,2750,40,1
"344","641",2,11,2750,41,1
"345","250",4,13,3250,39,1
"346","258",1,10,2500,43,1
"347","699",4,9,2250,28,0
"348","322",2,5,1250,16,1
"349","376",2,6,1500,22,1
"350","366",4,5,1250,16,1
"351","0",2,4,1000,14,1
"352","124",2,4,1000,14,0
"353","259",2,6,1500,26,0
"354","470",4,5,1250,16,1
"355","140",2,7,1750,32,1
"356","489",2,6,1500,26,1
"357","170",2,8,2000,38,1
"358","542",2,2,500,4,1
"359","355",2,6,1500,28,1
"360","24",4,2,500,4,1
"361","106",1,14,3500,95,0
"362","737",2,12,3000,70,1
"363","329",4,7,1750,32,1
"364","398",4,4,1000,16,0
"365","521",2,6,1500,35,1
"366","531",2,3,750,14,0
"367","99",2,4,1000,23,0
"368","319",4,4,1000,18,0
"369","661",5,6,1500,28,0
"370","86",4,6,1500,30,0
"371","313",14,5,1250,14,0
"372","288",3,8,2000,50,0
"373","229",4,9,2250,52,0
"374","200",4,16,4000,98,1
"375","53",2,9,2250,75,0
"376","331",4,9,2250,55,0
"377","147",4,6,1500,35,1
"378","203",2,6,1500,45,0
"379","41",2,6,1500,47,0
"380","89",4,2,500,9,0
"381","165",2,2,500,11,1
"382","383",4,6,1500,38,1
"383","351",9,9,2250,38,0
"384","108",11,5,1250,18,0
"385","640",2,1,250,2,0
"386","720",2,1,250,2,1
"387","68",2,1,250,2,0
"388","211",2,1,250,2,0
"389","237",2,1,250,2,0
"390","50",2,3,750,22,0
"391","600",9,11,2750,49,1
"392","310",3,5,1250,38,0
"393","583",3,1,250,3,1
"394","681",4,6,1500,43,0
"395","503",2,3,750,24,0
"396","270",12,11,2750,39,0
"397","375",2,2,500,14,0
"398","230",9,3,750,14,0
"399","497",14,8,2000,26,0
"400","188",4,2,500,13,0
"401","80",4,1,250,4,0
"402","637",4,1,250,4,0
"403","417",4,1,250,4,0
"404","97",4,1,250,4,0
"405","158",4,1,250,4,0
"406","425",4,1,250,4,0
"407","75",4,1,250,4,0
"408","136",4,7,1750,62,0
"409","603",4,4,1000,34,1
"410","123",11,6,1500,28,0
"411","422",13,3,750,14,1
"412","404",11,2,500,11,0
"413","218",2,5,1250,63,0
"414","561",7,11,2750,89,0
"415","55",8,9,2250,64,0
"416","486",2,2,500,22,0
"417","443",11,16,4000,89,0
"418","730",4,5,1250,58,0
"419","526",11,4,1000,27,0
"420","371",7,9,2250,89,1
"421","710",7,5,1250,52,0
"422","243",11,6,1500,41,0
"423","672",14,2,500,14,1
"424","666",14,2,500,14,0
"425","342",2,2,500,33,0
"426","682",11,3,750,23,0
"427","629",14,8,2000,46,0
"428","223",9,1,250,9,0
"429","393",4,2,500,30,0
"430","504",14,3,750,21,0
"431","442",4,2,500,31,0
"432","312",14,8,2000,50,0
"433","148",11,3,750,26,0
"434","636",14,7,1750,45,0
"435","559",15,5,1250,33,0
"436","13",16,2,500,16,0
"437","320",16,3,750,21,0
"438","411",11,8,2000,72,0
"439","625",11,1,250,11,0
"440","592",11,1,250,11,0
"441","552",11,1,250,11,1
"442","675",2,3,750,75,1
"443","700",2,3,750,77,0
"444","363",16,4,1000,28,0
"445","100",16,15,3750,87,0
"446","642",16,14,3500,83,0
"447","524",16,10,2500,62,0
"448","639",16,3,750,23,0
"449","22",23,19,4750,62,0
"450","430",11,7,1750,75,0
"451","418",20,14,3500,69,1
"452","267",11,2,500,25,0
"453","492",11,3,750,37,0
"454","179",13,7,1750,76,0
"455","611",14,3,750,33,0
"456","368",14,1,250,14,0
"457","697",14,1,250,14,0
"458","439",14,1,250,14,0
"459","627",14,1,250,14,0
"460","462",17,7,1750,58,1
"461","95",14,3,750,35,0
"462","109",16,3,750,35,0
"463","197",16,1,250,16,0
"464","202",16,1,250,16,0
"465","198",16,1,250,16,0
"466","178",16,1,250,16,0
"467","577",11,4,1000,74,0
"468","118",21,6,1500,48,0
"469","338",23,6,1500,45,0
"470","365",14,2,500,35,1
"471","173",16,4,1000,58,0
"472","715",16,5,1250,71,0
"473","2",21,2,500,26,0
"474","610",21,3,750,38,0
"475","232",21,1,250,21,0
"476","440",21,1,250,21,0
"477","183",25,6,1500,50,0
"478","60",21,1,250,21,0
"479","58",21,1,250,21,0
"480","49",23,3,750,39,0
"481","674",21,2,500,33,0
"482","204",14,3,750,79,0
"483","361",23,1,250,23,1
"484","30",23,1,250,23,0
"485","337",23,1,250,23,0
"486","496",23,1,250,23,0
"487","169",23,1,250,23,0
"488","698",23,1,250,23,0
"489","433",16,3,750,86,0
"490","360",21,2,500,52,0
